,train_loss,val_loss,train_acc,val_acc
0,0.009547070765237023,0.009175504161441302,0.6646946803196803,0.6846122627372627
1,0.009026202250394848,0.008920913079305069,0.6973807442557443,0.7041708291708292
2,0.008860771326565898,0.008824507383021204,0.7043113136863137,0.707760989010989
3,0.008727048819123596,0.008410643836898313,0.7106955544455544,0.7278971028971029
4,0.008631979417684791,0.008977025292337418,0.7150974025974026,0.6947115384615384
5,0.008563421745705497,0.008948257593503157,0.7164398101898102,0.6968344155844156
6,0.008525712815179423,0.008642711241698854,0.7189997502497503,0.7145666833166833
7,0.008413068473350245,0.008431625933005855,0.7246503496503497,0.7207167832167832
8,0.008325032964739557,0.00818170452644894,0.7277253996003996,0.7331418581418582
9,0.008306671740611891,0.008092539675243489,0.7293956043956044,0.7389797702297702
10,0.00830032987767583,0.008151487474767984,0.7295048701298701,0.7384334415584416
11,0.008253755652672284,0.008515330029188188,0.7313623876123876,0.7260239760239761
12,0.008188120835180675,0.008045617994814219,0.7341876873126874,0.7429757742257742
13,0.008216015318618878,0.008313064205717969,0.7309877622377622,0.7275224775224776
14,0.008155339701728269,0.00803200954098727,0.7342657342657343,0.7381212537462537
15,0.008107630555033237,0.008325023043967716,0.7375749250749251,0.7252903346653347
16,0.008134179727660937,0.007990767167030753,0.7358578921078921,0.7392295204795205
17,0.008102624786907917,0.008022471405956503,0.7367320179820179,0.7434752747252747
18,0.008014885387704387,0.008104609437175206,0.7409933816183816,0.7353583916083916
19,0.008019459692502654,0.008365731333735046,0.7401348651348651,0.7225586913086913
20,0.007985077223849373,0.007943501791820956,0.7421172577422578,0.7443962287712288
21,0.008041040948615387,0.00785193619058727,0.7374344405594405,0.7496253746253746
22,0.007985456269346066,0.007885240881771713,0.7435221028971029,0.744567932067932
23,0.007948226568946889,0.008058385289442556,0.7443962287712288,0.7403533966033966
24,0.008003627566469985,0.007790606498688489,0.7424762737262737,0.7486107642357642
25,0.008015149507437137,0.008348253949151768,0.7412587412587412,0.7232611138861139
26,0.007915502680199487,0.007789214972972304,0.7450362137862138,0.7488761238761239
27,0.007926010796530441,0.007835480033305588,0.7440528221778222,0.7488449050949051
28,0.007944692684975746,0.007839539220889697,0.7444586663336663,0.7477054195804196
29,0.007908494109855398,0.007765690225281648,0.7470654345654346,0.7514048451548452
30,0.007881982205947349,0.007877432752389472,0.7458947302697303,0.7487980769230769
31,0.00784651945613987,0.007714103158846215,0.7476117632367633,0.7548233016983017
